ID,Label
0,0
1,6
2,2
3,6
4,2
5,14
6,0
7,14
8,6
9,4
10,14
11,6
12,0
13,6
14,0
15,6
16,0
17,14
18,0
19,14
20,6
21,4
22,6
23,0
24,6
25,0
26,14
27,6
28,0
29,6
30,0
31,6
32,0
33,14
34,0
35,0
36,14
37,4
38,14
39,4
40,14
41,0
42,14
43,6
44,0
45,6
46,0
47,6
48,0
49,6
50,0
51,6
52,0
53,14
54,0
55,14
56,0
57,14
58,6
59,0
60,6
61,0
62,14
63,6
64,4
65,14
66,0
67,14
68,6
69,4
70,14
71,6
72,0
73,6
74,0
75,6
76,0
77,14
78,0
79,14
80,6
81,0
82,6
83,0
84,6
85,0
86,14
87,6
88,0
89,6
90,0
91,6
92,0
93,14
94,6
95,0
96,6
97,0
98,14
99,0
100,0
101,14
102,6
103,0
104,6
105,0
106,14
107,0
108,0
109,6
110,0
111,6
112,0
113,14
114,0
115,6
116,0
117,6
118,0
119,6
120,0
121,6
122,0
123,14
124,0
125,6
126,0
127,6
128,0
129,6
130,0
131,6
132,0
133,6
134,4
135,6
136,4
137,14
138,4
139,14
140,0
141,14
142,6
143,4
144,14
145,6
146,0
147,6
148,0
149,6
150,0
151,0
152,0
153,14
154,6
155,4
156,14
157,6
158,0
159,6
160,0
161,14
162,0
163,14
164,0
165,14
166,0
167,6
168,0
169,6
170,0
171,6
172,0
173,14
174,0
175,14
176,0
177,14
178,0
179,6
180,0
181,6
182,4
183,6
184,4
185,0
186,6
187,0
188,0
189,0
190,0
191,6
192,0
193,14
194,0
195,14
196,0
197,14
198,0
199,0
200,14
201,4
202,6
203,4
204,14
205,4
206,14
207,4
208,14
209,4
210,14
211,6
212,0
213,0
214,14
215,4
216,14
217,4
218,14
219,4
220,14
221,0
222,14
223,4
224,0
225,0
226,14
227,4
228,14
229,4
230,14
231,6
232,0
233,14
234,4
235,6
236,0
237,6
238,0
239,0
240,6
241,4
242,0
243,14
244,4
245,14
246,6
247,0
248,6
249,0
250,6
251,0
252,14
253,4
254,14
255,4
256,0
257,6
258,0
259,6
260,0
261,0
262,14
263,6
264,0
265,6
266,0
267,6
268,0
269,6
270,4
271,14
272,0
273,0
274,14
275,6
276,0
277,6
278,0
279,6
280,0
281,14
282,0
283,14
284,0
285,6
286,0
287,0
288,0
289,14
290,6
291,0
292,6
293,0
294,14
295,0
296,14
297,0
298,6
299,0
300,14
301,4
302,0
303,14
304,4
305,0
306,14
307,4
308,14
309,6
310,4
311,14
312,4
313,14
314,6
315,4
316,14
317,4
318,14
319,4
320,14
321,4
322,14
323,6
324,0
325,14
326,6
327,0
328,6
329,0
330,6
331,0
332,14
333,6
334,0
335,6
336,0
337,6
338,0
339,6
340,4
341,0
342,6
343,4
344,0
345,14
346,0
347,14
348,0
349,14
350,6
351,0
352,14
353,4
354,0
355,14
356,0
357,14
358,4
359,14
360,4
361,0
362,14
363,4
364,0
365,14
366,0
367,6
368,0
369,6
370,0
371,14
372,0
373,14
374,0
375,14
376,4
377,14
378,4
379,14
380,4
381,0
382,6
383,0
384,14
385,0
386,14
387,4
388,14
389,0
390,14
391,0
392,14
393,0
394,14
395,0
396,14
397,6
398,0
399,14
400,6
401,0
402,14
403,0
404,14
405,0
406,14
407,0
408,14
409,4
410,14
411,6
412,4
413,0
414,0
415,0
416,6
417,0
418,14
419,4
420,14
421,6
422,4
423,14
424,6
425,0
426,6
427,0
428,14
429,4
430,14
431,4
432,0
433,14
434,4
435,14
436,6
437,0
438,14
439,0
440,6
441,0
442,6
443,0
444,0
445,14
446,4
447,14
448,6
449,0
450,14
451,0
452,14
453,4
454,14
455,0
456,14
457,0
458,14
459,4
460,14
461,4
462,14
463,4
464,0
465,0
466,0
467,14
