ID,Label
0,14
1,0
2,6
3,2
4,2
5,0
6,8
7,14
8,14
9,14
10,8
11,2
12,0
13,0
14,6
15,4
16,0
17,0
18,8
19,0
20,0
21,14
22,0
23,6
24,0
25,2
26,14
27,6
28,0
29,6
30,0
31,2
32,0
33,0
34,14
35,0
36,2
37,6
38,4
39,0
40,14
41,4
42,0
43,6
44,0
45,6
46,4
47,0
48,0
49,6
50,0
51,0
52,0
53,14
54,0
55,0
56,14
57,0
58,2
59,14
60,2
61,14
62,14
63,8
64,4
65,0
66,8
67,14
68,14
69,14
70,8
71,2
72,0
73,0
74,6
75,4
76,0
77,0
78,8
79,0
80,0
81,6
82,0
83,4
84,0
85,4
86,0
87,14
88,4
89,14
90,4
91,4
92,6
93,14
94,6
95,0
96,6
97,4
98,0
99,14
100,6
101,0
102,0
103,14
104,0
105,14
106,14
107,10
108,6
109,4
110,4
111,8
112,4
113,14
114,2
115,6
116,0
117,0
118,2
119,0
120,0
121,14
122,2
123,0
124,14
125,0
126,2
127,6
128,0
129,0
130,2
131,0
132,6
133,2
134,4
135,14
136,0
137,4
138,4
139,0
140,8
141,14
142,14
143,14
144,8
145,2
146,0
147,0
148,6
149,4
150,0
151,0
152,8
153,0
154,0
155,14
156,2
157,6
158,0
159,0
160,2
161,14
162,14
163,12
164,0
165,14
166,2
167,4
168,6
169,0
170,0
171,6
172,4
173,14
174,14
175,12
176,0
177,14
178,4
179,4
180,6
181,0
182,8
183,2
184,8
185,14
186,6
187,0
188,0
189,5
190,0
191,0
192,2
193,0
194,14
195,4
196,3
197,0
198,0
199,6
200,0
201,14
202,0
203,0
204,0
205,8
206,0
207,0
208,0
209,6
210,0
211,14
212,0
213,0
214,14
215,0
216,0
217,0
218,8
219,14
220,0
221,0
222,0
223,14
224,0
225,0
226,14
227,0
228,8
229,4
230,2
231,2
232,8
233,0
234,0
235,5
236,0
237,2
238,0
239,12
240,2
241,0
242,0
243,14
244,14
245,14
246,8
247,6
248,4
249,14
250,0
251,0
252,6
253,2
254,2
255,0
256,6
257,0
258,0
259,4
260,0
261,0
262,4
263,0
264,6
265,4
266,0
267,2
268,4
269,14
270,2
271,0
272,0
273,14
274,8
275,2
276,0
277,6
278,0
279,2
280,0
281,6
282,0
283,6
284,4
285,6
286,0
287,0
288,14
289,0
290,6
291,0
292,2
293,0
294,0
295,14
296,0
297,0
298,6
299,4
300,0
301,14
302,0
303,2
304,6
305,0
306,0
307,2
308,0
309,6
310,2
311,4
312,14
313,0
314,4
315,0
316,4
317,0
318,14
319,14
320,8
321,6
322,0
323,0
324,6
325,0
326,6
327,0
328,6
329,0
330,0
331,2
332,14
333,6
334,0
335,6
336,0
337,2
338,14
339,6
340,4
341,0
342,14
343,1
344,14
345,0
346,14
347,0
348,4
349,0
350,6
351,14
352,14
353,0
354,14
355,2
356,14
357,14
358,8
359,6
360,4
361,0
362,0
363,14
364,0
365,6
366,0
367,6
368,0
369,0
370,2
371,0
372,0
373,14
374,0
375,0
376,14
377,4
378,0
379,4
380,0
381,14
382,0
383,6
384,0
385,14
386,0
387,2
388,6
389,2
390,0
391,14
392,0
393,4
394,8
395,0
396,14
397,0
398,0
399,14
400,0
401,2
402,6
403,0
404,0
405,14
406,4
407,14
408,14
409,14
